favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Hootsuite,RT @educationweek: See how the U.S. stacks up compared to other countries when it comes to #education in our new interactive:...,,False,Wed Dec 04 23:20:16 +0000 2013,0,408375228163977217
1,Hootsuite,#AFRICOM:“#USTRANSCOM’s issuance of this contract acknowledges r proven performance in remote &amp; austere environments.”http://t.co/cp5BOLRbry,,False,Sat May 17 14:45:11 +0000 2014,0,467677212054155264
5,Twitter for iPhone,Happy #NationalAviationDay!,,False,Sun Aug 19 21:01:59 +0000 2018,1,1031285170807230469
0,Twitter Web Client,"@aarcorp employee, Mark Aguirre and Coach Ray Meyer are first honorees of new #Chicago Legends event https://t.co/UgcOWmr4Ec @chicagotribune",AARCORP,False,Wed Nov 16 19:13:53 +0000 2016,1,798967343921692677
2,Hootsuite,Market Research Future report notes increasing demand for #narrowbody #aircraft from emerging markets is one reason… https://t.co/7gBSfqoJIx,,False,Wed Mar 21 11:50:07 +0000 2018,1,976425721223614464
2,Cision Social Edition,Reliability centered maintenance is paramount as is the process of determining the most effective maintenance approach - R. Shah #smAARtchat,,False,Wed Oct 19 13:10:00 +0000 2016,2,788728908434726912
2,Hootsuite,"Military fleet operators expect information in real-time, monthly reports no longer meet their needs - N. Gross #smAARtchat @AARCORP",,False,Wed Jul 05 10:50:08 +0000 2017,1,882552166711517185
0,iOS,AAR attends the ERA General Assembly today! Stop by &amp; meet AAR's VP of Marketing-Paris Pascal Parant #era15 http://t.co/tNMojbNWU6,,False,Wed Oct 14 14:43:03 +0000 2015,0,654306426148536320
1,Hootsuite,"RT @ShiaKapos: Chicago loses two pioneers--both women who made an imprint in business, philanthropy. http://t.co/AuTqKGNhmY",,False,Fri Oct 25 13:35:33 +0000 2013,0,393732565166989312
0,Twitter for Websites,http://t.co/PNj4RwebHH AAR increases parts availability in Europe,,False,Mon Apr 01 13:17:05 +0000 2013,0,318713629052653568
1,Cision Social Edition,Today AAR's M. Leung leads the discussion on optimizing economic &amp; operational efficiencies of aging aircraft through cabin retrofits,,False,Wed Oct 07 00:30:00 +0000 2015,0,651555035466207232
0,Hootsuite,Congratulations to @UChicago professors Eugene Fama and Lars Peter Hansen on winning Nobel prize in #economics! http://t.co/LZyioY4uNR,,False,Mon Oct 14 13:38:18 +0000 2013,0,389746990835564544
