favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
1,Twitter Web Client,Press Release: Jeffrey Ubben Joins AES Board of Directors https://t.co/Bg3e1QFvQj,,False,Thu Jan 18 12:02:21 +0000 2018,1,953960752058109952
12,Twitter Web Client,At #EEI2018 Ken Zagzebski: “AES saw the potential of energy storage 10 yrs ago when  we first synchronized batterie… https://t.co/dRw5akszDC,,False,Wed Jun 06 04:01:59 +0000 2018,4,1004211776605564929
1,Twitter Web Client,AES Announces Secondary Offering of ~60 Million Shares by a Sub of CIC and Concurrent Repurchase of 20 Million Shares http://t.co/aMfwFAnj30,,False,Tue May 12 20:52:55 +0000 2015,0,598229390242258944
5,Twitter Web Client,We can attest to @Amazon's location choice for world-class talent. Our team delivers on operational excellence ever… https://t.co/ALKxVDLBC8,,False,Wed Nov 14 21:47:58 +0000 2018,0,1062824485794074624
3,Twitter Web Client,Press Release: AES Reports Strong Cash Results for Q2 '16: Consolidated Net Cash $723 M and Proportional FCF $417 M https://t.co/nGGsmpVsHZ,,False,Fri Aug 05 10:02:38 +0000 2016,1,761502667487182848
2,Twitter Web Client,"Media Advisory: AES Announces Q2 2016 Financial Results Conference Call to be Held on August 5, 2016 at 9:00 a.m. https://t.co/d5Kdg1YI4M",,False,Tue Jul 05 12:02:31 +0000 2016,1,750298813873680385
8,Twitter Web Client,AES utilities @IPLPower in #Indiana and @DPLToday in #Ohio were named 2018 Utility Customer Champions by Cogent Rep… https://t.co/MPEph4eTa8,,False,Thu Dec 27 16:51:32 +0000 2018,0,1078332565981929472
1,Twitter Web Client,AES President and CEO Andrés Gluski to Present at 2014 Barclays CEO Energy-Power Conference http://t.co/axedCnkdzP,,False,Fri Aug 29 14:51:58 +0000 2014,0,505367258513043456
0,Twitter for iPhone,"Through AES Dominicana Foundation, sustainable community programs in education and the environment have benefited &gt;75k people in the DR",,False,Wed Jul 23 19:12:58 +0000 2014,0,492024590089347074
0,Twitter Web Client,AES Issues Statement Regarding its Maritza Plant in Bulgaria http://t.co/tvrKxATPVZ,,False,Wed Jun 25 20:34:40 +0000 2014,0,481898291802959873
1,Twitter Web Client,@aes_d_energy is helping East Hampton become the first municipality on the East Coast to source 100% of community-w… https://t.co/yRocI8LJc8,aes_d_energy,False,Thu Nov 22 18:39:39 +0000 2018,0,1065676199001755648
20,Twitter Web Client,Drones are helping @AESDominicana improve safety and efficiency. The team recently completed their first robotic bo… https://t.co/FhFLm1iQ8T,,False,Fri Jul 27 19:24:00 +0000 2018,14,1022925591190937600
6,Twitter Web Client,"In 2018, AES created a new recognition for outstanding emergency response. The winner, AES Puerto Rico, worked to h… https://t.co/CZaaGvS3oJ",,False,Thu Aug 16 23:25:44 +0000 2018,2,1030234180955844609
18,Twitter Web Client,#VA is getting greener! sPower received the necessary approvals to build one of the largest #solar farms in the US.… https://t.co/eHEeBhydUd,,False,Fri Apr 19 16:50:18 +0000 2019,8,1119282083640246272
7,Twitter Web Client,"#AI and #machinelearning are value-drivers for businesses everywhere. On this episode of @TWiMLAI podcast, AES’ Nic… https://t.co/9NMFIfglWc",,False,Mon Jul 09 19:27:44 +0000 2018,2,1016403546533715969
10,Twitter Web Client,AES has a history of innovation and we’re honored to be named as a finalist for #auvsiXCELLENCE Awards in the Opera… https://t.co/4Whbek6F3G,,False,Tue Apr 09 22:50:31 +0000 2019,2,1115748857646858240
3,Twitter Web Client,"AES Mountain View earned 3rd place in our APEX Replication Awards. To  reduce wait time for parts, they applied the… https://t.co/PpqD6xHEXR",,False,Wed Sep 05 18:52:22 +0000 2018,1,1037413142924587009
