favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter for iPhone,"@hawaiiowanpunch, can you direct message us your address so we can follow up on this?",hawaiiowanpunch,False,Thu Apr 07 15:48:46 +0000 2016,0,718103231751041025
2,TweetDeck,The seasons crossed over with the snowfall last night at our Madison headquarters. The sun today will take care of… https://t.co/xiQMLmltbg,,False,Tue Oct 29 13:55:53 +0000 2019,1,1189179047898689536
0,TweetDeck,Bobbi had another reason she wanted to tell their story. “Older dogs sometimes wait a long time to be adopted. Cons… https://t.co/apxmuzYNNN,alliantenergy,False,Mon Aug 26 15:40:47 +0000 2019,0,1166012622879301633
0,Twitter Web Client,See the message? Call 811 before digging. It's the law and it will save your life. #call811 http://t.co/eCJHX3oX6u http://t.co/pdSbRtWGrg,,False,Tue Apr 02 16:35:37 +0000 2013,1,319125980973260801
0,TweetDeck,The reimagined Alliant Energy Kids website has four new teaching units – all crafted specifically for grades 6-8. T… https://t.co/hydaOybcbe,,False,Thu Jan 31 15:53:33 +0000 2019,0,1091001549424414720
1,TweetDeck,"This weekend's warmer weather is also a good reminder to check your air conditioner’s evaporator coil, which should… https://t.co/n3eU54GL83",,False,Fri Apr 05 17:15:27 +0000 2019,1,1114214982764384256
1,TweetDeck,Switch those outdoor lights and save! https://t.co/oemofe7Y0o,,False,Fri Mar 29 14:37:26 +0000 2019,2,1111638499860639744
2,TweetDeck,Our crews worked in the early morning deep freeze to repair this transmission line near Mineral Point. Wis. We’re o… https://t.co/DylooxGqL4,,False,Wed Jan 30 18:41:08 +0000 2019,1,1090681331804225541
0,TweetDeck,Fall in love with the benefits of driving electric. Just one ride in an EV and you’ll quickly realize it’s somethin… https://t.co/3Nz3VRSLeo,,False,Mon Feb 11 15:27:30 +0000 2019,0,1094981257275035650
0,Twitter for Android,"For the latest on Alliant Energy, follow our state accounts: @AlliantEnergyIA and @AlliantEnergyWI.",,False,Wed Jun 28 18:19:44 +0000 2017,0,880128597037654023
1,TweetDeck,"@believablebaker Thank you, Kevin. Our crews appreciate feedback like this especially under these very cold conditions.",believablebaker,False,Wed Jan 30 18:33:35 +0000 2019,0,1090679435815206912
0,Twitter Web Client,"For the latest on Alliant Energy, follow our state accounts: @AlliantEnergyIA and @AlliantEnergyWI",,False,Fri May 04 17:09:16 +0000 2018,0,992451103143940096
3,TweetDeck,"It was great to meet such curious and eager students, @MadisonCollege! #EnergyforGood https://t.co/1XNRwo7qsF",,False,Thu Oct 03 15:42:40 +0000 2019,2,1179783835401228288
2,TweetDeck,We work with Trees Forever to fund and implement tree-planting projects that encourage energy efficiency. This year… https://t.co/euL1kul3t1,,False,Mon Jul 01 14:09:51 +0000 2019,0,1145696017880363009
0,TweetDeck,Draw on your skills to power a career with us! We’re hiring for a Drafting Technician I. You’ll be drafting &amp; drawi… https://t.co/EXKLdOaXZc,,False,Wed Nov 20 14:46:18 +0000 2019,0,1197164267805523968
0,TweetDeck,@PRSocialQueen I am sorry to hear that complaint - Is there something I can help with right now?,,False,Wed Jan 23 21:45:02 +0000 2013,0,294199087111229440
0,TweetDeck,"It was great to be there, @LeadershipIowa! #PoweringBeyond https://t.co/104J9peCPa",,False,Wed Sep 11 13:35:12 +0000 2019,0,1171779226648895489
3,TweetDeck,National Lineman Appreciation Day is a time to express our appreciation to the great men and women who work so hard… https://t.co/XPPHFPl8nn,,False,Thu Apr 18 17:22:14 +0000 2019,2,1118927731046146048
0,TweetDeck,"@TeeGarvin I just confirmed that the number is working, Tami. Please try again.",TeeGarvin,False,Mon Jul 08 19:37:52 +0000 2019,0,1148315280864661504
1,Twitter for iPhone,@DeliciousPurple sure. We love trees too. Especially when they are in a good spot.,DeliciousPurple,False,Thu Dec 05 23:14:37 +0000 2013,0,408736196550868992
1,TweetDeck,Powerful storms have caused massive damage in and around Amherst/Marion and Wisconsin Rapids. Dozens of poles were… https://t.co/MWnGAShdH8,,False,Sun Jul 21 01:37:40 +0000 2019,0,1152754481874055168
0,TweetDeck,"Get all you need to know about storm and restoration work by state @AlliantEnergyIA, @AlliantEnergyWI or @AlliantEnergyMN",,False,Mon May 20 13:29:58 +0000 2013,2,336473876110385152
2,TweetDeck,We’re hanging out with Science Bucky today at the Wisconsin Science Festival. Lots of students got take a virtual r… https://t.co/9hu0rvEDIo,,False,Fri Oct 18 18:02:22 +0000 2019,2,1185254812109152259
0,TweetDeck,We're proud of Nate and the great work being done by @JAEasternIowa! #EnergyforGood https://t.co/Z0YEwd4nap,,False,Tue Aug 27 13:37:05 +0000 2019,0,1166343882063437824
0,TweetDeck,We had a lot of fun seeing eager faces and exploring career options Thursday during Take Your Child to Work Day. We… https://t.co/OPcZLQpHOq,,False,Fri Apr 26 14:27:15 +0000 2019,1,1121782798187102210
1,TweetDeck,"You simply can't power beyond without a healthy breakfast! At Franklin Middle School in Cedar Rapids, employees ser… https://t.co/gYjeY8LPN3",,False,Tue Apr 02 14:37:54 +0000 2019,1,1113088169988317184
0,TweetDeck,"@DarrinHamilton @iub_now Darrin, please DM me your contact information so I can have someone in customer service follow up with you.",DarrinHamilton,False,Fri Apr 05 21:29:40 +0000 2019,0,1114278956633604098
0,TweetDeck,"Great work, Malcolm! We can't wait to see what you accomplish. #EnergyforGood @UWMadisonMSE https://t.co/PsvIiIvvmS",,False,Fri Nov 08 17:26:32 +0000 2019,0,1192855936282562561
0,Twitter for iPhone,"@tiffod it depends on the cause. Regardless, crews work as fast as safely possible for the many reasons we have to slow down",,False,Sat Oct 10 04:25:58 +0000 2015,0,652701581855449088
1,TweetDeck,Are you taking advantage of Fourth of July appliance sales? Wondering what to do with your old appliance? Look no f… https://t.co/eU15E8WLAh,,False,Wed Jun 26 15:35:31 +0000 2019,0,1143905639418216448
1,TweetDeck,"Learn about the different types of equipment that can be used for heating and cooling your garage.

#PowerHouseTV… https://t.co/Vvg1WRud49",,False,Fri Nov 08 15:06:56 +0000 2019,0,1192820806386159621
4,TweetDeck,@ISIenvision “At a time when many of us are concerned with reducing greenhouse gas emissions to prevent the worst e… https://t.co/rPmE3qme4N,alliantenergy,False,Tue Jul 23 18:21:24 +0000 2019,2,1153731857139273728
0,TweetDeck,"Come work with us!
Manager, Strategic Tax, Cedar Rapids, Des Moines, Dubuque, Madison

Local Material Coordinator,… https://t.co/HyKgL4LQmh",,False,Mon Apr 08 16:25:37 +0000 2019,1,1115289604381392896
1,TweetDeck,@HatfieldMakayla Sorry for your experience. We had an issue with our phone system after major outages in our servic… https://t.co/E1ozSmDzRI,HatfieldMakayla,False,Mon Jul 01 18:59:55 +0000 2019,0,1145769015123546113
0,TweetDeck,"It’s Natural Gas Utility Workers’ Day! Take a moment to appreciate our gas workers, like Shawn, a Field Tech in Mau… https://t.co/K8QSOq9Fey",,False,Mon Mar 18 14:14:33 +0000 2019,0,1107646477243809792
1,TweetDeck,Our Foundation is making investments in the people on the front lines in our communities. The Foundation recently a… https://t.co/GgjXLA196y,,False,Thu Jun 27 14:02:04 +0000 2019,0,1144244509406052352
0,TweetDeck,Have fun and keep cozy in an EV all winter long. Some electric vehicles can even preheat in your garage with the cl… https://t.co/JjqL99i7I0,,False,Tue Nov 19 20:11:33 +0000 2019,1,1196883733682511872
0,TweetDeck,"National Safe Digging Month may end tomorrow, but spring project season is just starting. Stay safe. Call 811 befor… https://t.co/PE2lS2xjwo",,False,Mon Apr 29 14:10:40 +0000 2019,0,1122865789558755330
2,TweetDeck,We're glad to support these students! #EnergyforGood https://t.co/L8NIGwpcla,,False,Tue Mar 26 14:59:12 +0000 2019,0,1110556813848653830
1,Twitter for Android,".Thanks, Kameron! Stay safe. https://t.co/Ml9cBDPrLR",,False,Thu Nov 12 03:18:13 +0000 2015,0,664643330739949568
