favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,TweetDeck,Apache Foundation Restores Historic Gettysburg Orchards  http://bit.ly/cUJnN4,,False,Thu Apr 29 15:34:53 +0000 2010,0,13074863598
3,StockTwits Web,#ApacheCorp announces first-quarter 2016 results. Listen to webcast at 1 p.m. CT. https://t.co/dompHbHyEu $APA,,False,Thu May 05 12:14:54 +0000 2016,3,728196267516428288
0,TweetDeck,Tulsa celebrates grand opening of Apache CNG fueling station http://t.co/iEJwoTeX #ApacheCorp #CNG #natgas,,False,Tue Apr 03 13:06:10 +0000 2012,5,187164086847537152
9,Twitter Web Client,"Today, Apache announced a corporate partnership with @the_USO to help our service members stay connected to family,… https://t.co/cfTNpynuj6",,False,Wed Mar 27 19:32:41 +0000 2019,1,1110988027600474113
3,Twitter Web Client,"@apachecorp named ""one of the best energy stocks for 2017"" by @usnews - take a look to see why https://t.co/2M5I74CzDj",ApacheCorp,False,Mon Apr 10 14:59:01 +0000 2017,2,851449444096770052
0,StockTwits Web,Apache to develop Balnaves oil field offshore Western Australia http://stks.co/Qsw $APA #ApacheCorp,,False,Fri Sep 30 13:16:31 +0000 2011,0,119762549074956288
0,TweetDeck,Apache completes first horizontal wells in oil-rich Hogshooter segment of Granite Wash play   http://bit.ly/cLumIg,,False,Thu Nov 04 13:56:23 +0000 2010,1,29669810283
2,StockTwits Web,#ApacheCorp has released its third-quarter 2016 financial and operational results. https://t.co/2aMo7IDq9V $APA,,False,Thu Nov 03 11:59:32 +0000 2016,2,794146993241255936
1,Twitter Web Client,"We are always focused on working safer and smarter as part of our AIM for ZERO process, which seeks to establish an… https://t.co/WSWrZDnDWV",,False,Tue Jul 02 22:28:57 +0000 2019,0,1146184009652871169
9,Twitter Web Client,"#ApacheCorp announces appointment of W. Mark Meyer as senior vice president, Energy Technology Strategies. https://t.co/MScMf0At6g",,False,Thu Feb 08 21:12:31 +0000 2018,2,961709351256969221
2,Twitter Web Client,"The Hurricane season, which starts June 1st and ends November 30th, is underway. The oil and gas industry is… https://t.co/4kHIXavCrN",,False,Wed Jul 18 14:47:47 +0000 2018,3,1019594588376444928
0,TweetDeck,"#ApacheCorp today announced it donated 1,000 #trees to Terrebonne Parish for its annual tree giveaway http://t.co/SdJzseNNzy",,False,Thu Jan 16 22:16:35 +0000 2014,1,423941881878171648
2,Hootsuite,#ICYMI click here for the replay of #ApacheCorp 's North Sea Update $APA https://t.co/D01x6zoghQ,,False,Wed Dec 02 20:58:24 +0000 2015,1,672157895342080001
1,Twitter for Websites,Imagining a Nat Gas Future http://t.co/HYC4iNPu via @CNBC #natgas,,False,Mon Apr 02 13:14:53 +0000 2012,0,186803892561002496
6,Twitter Web Client,"Ahead of #TexasEnergyDay, take a look at Apache's call to fully fund the Texas Railroad Commission: https://t.co/7cV6Kw2hBJ",,False,Tue Mar 21 18:43:00 +0000 2017,8,844258055927840773
0,TweetDeck,"When it comes to TX #natgas, @texnatgas has Texans covered. Facts, benefits &amp; more about this great resource here: http://t.co/3WsRiaOD.",,False,Mon May 14 16:15:17 +0000 2012,0,202069583698468864
11,Twitter Web Client,"#TBT to 1955and @ApacheCorp ’s very first well in Cushing, OK. It produced all of seven barrels per day.… https://t.co/UMqH6ZaAOt",,False,Thu Aug 24 12:40:25 +0000 2017,6,900699316670648320
0,TweetDeck,"Gulf of Mexico update - Sept. 4, 2012, 5:30 p.m. CT http://t.co/6iCRhcqQ #ApacheCorp $APA",,False,Tue Sep 04 22:32:35 +0000 2012,0,243114360749301760
0,TweetDeck,Apache makes gas discovery offshore Kenya; data analysis underway to determine future activity http://t.co/5idEHz7q #ApacheCorp,,False,Wed Sep 12 13:39:51 +0000 2012,3,245879400078376960
2,Hootsuite,Today is the day! We’re ready to see our city showing support for Houston’s parks and green spaces… https://t.co/JqtYJL2X0X,,False,Sun Mar 18 12:30:20 +0000 2018,0,975348679048654850
3,Twitter Web Client,Are you nonprofit that #lovestrees? Do you want #freetrees? Apply for the @ApacheCorp Tree Grant program at… https://t.co/EeYnwlZRJo,,False,Thu Jul 27 15:42:34 +0000 2017,2,890598292698144769
0,TweetDeck,Apache completes acquisition of BP assets in Egypt's Western Desert http://bit.ly/bHzXVa,,False,Thu Nov 04 17:40:44 +0000 2010,1,29686947746
8,Twitter Web Client,"At Apache, we take responsibility for the stewardship of the lands and waters where we operate. Read more here:… https://t.co/Ye5vHUliSI",,False,Wed Dec 06 13:25:49 +0000 2017,2,938399076869165057
6,Twitter Web Client,"We are kicking off our 13th year of the Apache Tree Grant Program by donating 50,000 trees! Since 2005, we have don… https://t.co/UOyQ4UgOj7",,False,Thu Nov 15 21:15:58 +0000 2018,1,1063178819362668544
0,Twitter Web Client,"@ANGAus See how clean, abundant, American natural gas is turning back the clock on fuel pricing. http://t.co/bUMLcDn7Wj  #CNG",natgassolution,False,Tue Mar 19 16:43:58 +0000 2013,3,314054650951262208
28,Twitter Web Client,History of oil: #DidYouKnow oil was first pumped from the ground in China 2500 years ago and was first pumped in th… https://t.co/Q27QGknbNb,,False,Thu May 24 13:24:33 +0000 2018,16,999642309376475137
7,Twitter Web Client,Take a look at our new LinkedIn feature spotlighting the most important part of our company – our employees:… https://t.co/R5TtVzsEKy,,False,Thu Mar 30 18:31:24 +0000 2017,5,847516626354364416
