favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
1,Hootsuite,We're #hiring a #Commercial #Property #Field #Claims #Specialist for this #travel and #workfromhome opportunity:… https://t.co/G9uPvjvCbJ,,False,Thu Jul 13 15:15:10 +0000 2017,0,885517966808317957
3,Hootsuite Inc.,"This January, industry thought leaders will head to the @IndAgent Level Up Agent Summit to reflect on the advances… https://t.co/mooA1UugP7",,False,Fri Nov 22 17:23:35 +0000 2019,0,1197928624600633344
6,Hootsuite,Love helping others succeed? You can make it happen in an #insurancecareer. CNA's Greg Dasher has worked in insuran… https://t.co/3j37cm8U1m,,False,Fri Feb 23 21:15:07 +0000 2018,2,967145824437329920
0,Twitter Web Client,@BeckyBaumann1 Employee safety remains our primary concern. Many are working remotely to ensure we are ready to assist customers.,BeckyBaumann1,False,Fri Sep 08 15:45:53 +0000 2017,0,906181806730481666
0,Twitter Web Client,"CNA's Clinton J. Wesolik, EPL National Product Leader, is presenting at @ACILegal 26th National Conference on Emplo… https://t.co/AtCXFlbnD4",,False,Tue Jan 30 14:39:46 +0000 2018,0,958349020942028801
3,Hootsuite,Nicole Leinbach Reyhle of @RetailMinded  outlines points every #retail #smallbusiness owner should consider before… https://t.co/sDRD07BdYx,,False,Fri Jan 19 19:01:23 +0000 2018,2,954428593463070722
4,Hootsuite Inc.,"From cybersecurity to employee retention, CNA’s From the Expert’s blog keeps readers up-to-date on industry trends.… https://t.co/ZYSuJFhS4y",,False,Mon Aug 26 20:02:59 +0000 2019,0,1166078606927441920
4,Hootsuite,"The proper use of design and décor can reduce glare and provide visual cues for floor changes, reducing the risk of… https://t.co/rXqlBsUmUE",,False,Thu Apr 26 13:40:07 +0000 2018,2,989499364983889920
1,Twitter Web Client,"CNA's Andrew Davis, Recruiting Consultant, shares questions to consider asking during your next job interview — and… https://t.co/WPF3zSczmG",,False,Fri Dec 07 16:49:11 +0000 2018,0,1071084214504820736
4,Hootsuite,"CNA welcomes Carrie Goesel as Vice President, Financial Institutions Underwriting: https://t.co/pFp2TGo1iY https://t.co/TERI9jGWiX",,False,Thu Jan 11 23:05:07 +0000 2018,3,951590825108140032
4,Hootsuite Inc.,"CNA’s proud to sponsor @SpencerEdFnd, funding the education of tomorrow’s risk management and insurance leaders, an… https://t.co/gEYE4GColO",,False,Mon Sep 17 14:01:53 +0000 2018,1,1041688697094266881
1,Hootsuite,See what CNA's #certified #ethical #hacker says about improving your #data #security: https://t.co/LE1HGtMdQ4 https://t.co/hAeuOhbbc8,,False,Wed Nov 08 20:50:39 +0000 2017,3,928364163998642176
1,Hootsuite,"Prescription painkillers such as Oxycontin, Percocet, and Vicodin account for more drug #overdoses than heroin and… https://t.co/Yca9JTpzaL",,False,Mon Jun 11 21:40:05 +0000 2018,0,1006289997006327811
0,Hootsuite Inc.,"CNA's Laura Lapidus, Management Liability Risk Control Director, discusses harassment risk factors, construction in… https://t.co/OCtgphAwH3",,False,Mon Jun 25 13:15:12 +0000 2018,0,1011236368209600512
0,Hootsuite,Is your roof ready for a hurricane? Get #PrepWise: https://t.co/xdhp94HAP9 https://t.co/L1IEjmfW92,,False,Tue Jun 12 19:45:08 +0000 2018,0,1006623456765628416
