favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Sprinklr,@mdowney Thx 4 bringing this to our attention. We'll pass this along to the appropriate parties. Please DM us the station location.,mdowney,False,Fri Mar 24 21:52:26 +0000 2017,1,845392889777737730
0,Sprinklr,@aliesha_mcevers Thanks for bringing this to our attention. We'll pass this along to the appropriate parties.,aliesha_dawn,False,Thu Jun 16 16:07:00 +0000 2016,0,743474969552822273
0,Sprinklr,@DredenO Hi DredenO - Thanks for your interest in Chevron.,DredenO,False,Mon May 12 20:19:33 +0000 2014,0,465949422405562368
0,Sprinklr,@RobbyG206 Thx 4 bringing this to our attention. We'll pass this along to the appropriate parties. Please DM us the station location.,RobbyG206,False,Mon Dec 21 22:23:01 +0000 2015,0,679064555981545473
0,Sprinklr,MT @Markviso Partnership is at heart of what we do. w/@Chevron @CocaColaCo we will positively impact lives in Myanmar http://t.co/Z04KaVdQvj,,False,Mon Sep 22 18:52:01 +0000 2014,3,514124977168449537
0,Sprinklr,@Jakewk Thanks for bringing this to our attention. We'll pass this along to the appropriate parties.,Jakewk,False,Mon Jun 02 18:40:50 +0000 2014,0,473534723831382016
8,Twitter Web Client,"At #Wheatstone, all modules for Train 1 &amp; common facilities are on their
foundations. $CVX https://t.co/6i1CqZWLP1",,False,Tue Mar 08 14:38:20 +0000 2016,13,707213869668667392
2,Sprinklr,@tina_mallard Thanks for your interest in Chevron. You can find job openings on our Careers site at: https://t.co/pwZlwYMT3H.,tina_mallard,False,Thu Nov 02 00:50:29 +0000 2017,0,925887805838028800
0,Sprinklr,@JennyAnnCook Thanks for bringing this to our attention. We'll pass this along to the appropriate parties.,JennyAnnCook,False,Thu Jun 30 20:57:00 +0000 2016,0,748621380724350976
0,Sprinklr,@spirits_destiny You can find out how to report offensive content on Facebook here: https://t.co/4fIxN2Iks4. 1/2,spiritsdestinyu,False,Fri Apr 01 00:34:28 +0000 2016,0,715698813613248512
14,Sprinklr,Fueling economic growth: Gorgon and Wheatstone will deliver long-term economic benefits: https://t.co/d2dBmeOQeJ https://t.co/rdOGVqn3r9,,False,Wed Nov 18 05:12:48 +0000 2015,24,666846495463854080
1,Twitter Web Client,Chevron’s Pierre Breber: The U.S. EIA projects global energy demand will increase roughly 40% by 2035@GastechEvent,,False,Tue Oct 27 08:20:56 +0000 2015,2,658921309259198465
27,Twitter Web App,"learn all about how our new VLCCs help us work towards affordable, reliable, ever-cleaner energy:… https://t.co/g1vjE6l7jo",Chevron,False,Thu Sep 19 21:53:57 +0000 2019,13,1174803844473204737
36,Sprinklr,CEO John Watson: Chevron to invest nearly $30B in the U.S. over the next 4 years. Watch here @CNBCClosingBell: https://t.co/sZRKJyYuDp,,False,Wed Mar 22 15:23:00 +0000 2017,28,844570112715870208
82,Sprinklr,"It’s more than a game to them, so it’s more than a game to us. Introducing Chevron Soccer Academy. https://t.co/kvdpjCRs59",,False,Fri May 17 16:00:13 +0000 2019,27,1129416338060009472
7,Sprinklr,How can we engage students &amp; parents in #STEM? @CarnegieSciCtr study shows need for hands-on learning: http://t.co/SZP870tGdX #CASTEM2015,,False,Mon Mar 16 22:50:00 +0000 2015,18,577602746305630208
145,Sprinklr,VIDEO: #Chevron CEO talks with @FortuneMagazine about how Chevron creates leaders http://t.co/tM6tWvKXci,,False,Thu Mar 26 02:19:00 +0000 2015,89,580916831843651585
17,Sprinklr,39 cargos have been shipped to date for the #GorgonProject. https://t.co/9p60KIdot3 $CVX https://t.co/ySxakFFN8b,,False,Fri Jan 27 16:37:52 +0000 2017,15,825020007696519169
1,Sprinklr,@HailTheBeast Thanks for bringing this to our attention. We'll pass this along to the appropriate parties.,HailTheBeast,False,Mon Apr 06 15:18:38 +0000 2015,0,585099300901912576
2,Sprinklr,RT @Justin_Higgs #Chevron proud to support expansion of @UCBerkeley &amp; @USAID fellowships to improve lives globally: http://t.co/47ctudEDum,,False,Fri Oct 03 22:51:00 +0000 2014,6,518171388918915072
4,Sprinklr,#Mentors inspired &amp; empowered @Techbridgegirls Marta Garcia in #STEM. See how @usnews: http://t.co/QYtkbhJD2H #girlsinSTEM,,False,Fri Jun 05 18:40:01 +0000 2015,4,606893251770105856
0,Sprinklr,@AIndoria Thanks for bringing this to our attention. We'll pass this along to the appropriate parties. Please Direc… https://t.co/SXS7b1Nu9m,AIndoria,False,Mon Nov 27 16:32:37 +0000 2017,0,935184596051865600
