favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
9,Twitter for iPhone,"Cubes for a day, but changemakers for life. #CubicKidsDay #TakeYourKidToWorkDay #CubeLife #transportation #defense… https://t.co/vbHbNydFU4",,False,Fri Apr 27 01:58:37 +0000 2018,4,989685216955568128
0,Hootsuite,"@CubicTS Sr. VP Operations Min Wei #blogs about our recent #opening of #global #operations center in the #UK
https://t.co/I1g0ucY1k8",CubicTS,False,Thu Sep 29 00:03:09 +0000 2016,0,781283133433995265
1,Twitter Web Client,"@merrilyn57 @SempraEnergy @3dsystems @Intuit @UCSDJacobs @VVCasinoCenter Thank you for having our very own, Denise… https://t.co/EFu8CBqxij",merrilyn57,False,Wed Mar 14 21:24:08 +0000 2018,0,974033462079381504
1,Twitter for iPhone,Our @Cubic_MS team expanded their footprint today to Dallas. Congrats! #WeAreCubic https://t.co/lyjXlJFNG2,,False,Fri May 04 01:11:54 +0000 2018,1,992210175523205125
6,Twitter Web App,"Happy #STEMday #STEAMDay! We believe in the great value of #STEM #STEAM education, especially for the transportatio… https://t.co/IaTsqgqa9M",,False,Fri Nov 08 17:18:18 +0000 2019,2,1192853867253252096
4,Sprout Social,"Our CEO, Brad Feldmann, engaged the young curious minds in science and engineering this past weekend at the… https://t.co/aJ9e9YAItl",,False,Tue Mar 06 18:15:18 +0000 2018,2,971086835488378880
4,Sprout Social,"Representing hundreds of today’s largest and most-diverse corporations in the world, NACD Fellows serve on boards o… https://t.co/0CSLd4DTyc",,False,Fri Oct 26 15:47:43 +0000 2018,1,1055848456613494784
0,Twitter Web Client,"Visit @CubicDefense at #IITSEC 2016 Nov. 28 - Dec. 2 in Orlando, FL. Booth #1549! https://t.co/0sSyxcGgOP",,False,Thu Nov 10 18:38:11 +0000 2016,0,796784031819935746
2,Sprout Social,"2019 will be the year of ""conscience"". Read Brad Feldmann's most recent thought leadership article here:… https://t.co/JhduIdFa5U",,False,Mon Apr 01 07:24:01 +0000 2019,1,1112616592184143872
0,Sprout Social,.@cubicdefense awarded contracts to deliver training support and equipment for Indo-Pacific region customer -… https://t.co/1vL9wA9izc,,False,Thu Jun 06 13:12:05 +0000 2019,0,1136621785254891521
11,Twitter Web Client,"On behalf of the @sdpolicefdtn, @SanDiegoPD Chief Shelley Zimmerman visited our corporate headquarters yesterday wi… https://t.co/nbGAFv5MrQ",,False,Tue Jan 23 18:54:50 +0000 2018,0,955876496219910144
1,Facebook,"In recognition of Black History Month, Cubic employees reflect on what #BlackHistoryMonth means to them. https://t.co/4FWIRbx2AO",,False,Thu Feb 23 16:26:17 +0000 2017,1,834801563101229058
2,Twitter Web Client,#NextTraining @CubicDefense https://t.co/yTzAE2xIOa,,False,Thu Sep 20 19:26:33 +0000 2018,0,1042857563514007552
4,Sprout Social,"#cubicinthecommunity // At Cubic, we launch rockets. Each year, we support student teams at the national Team Rocke… https://t.co/UPEv7xxV8x",,False,Tue Apr 23 07:24:22 +0000 2019,1,1120589212930203648
6,Sprout Social,Kayla is just 8 months into Cubic and rocking it! #GATR @CubicMS #Huntsville #WomenInTechnology #WeAreCubic… https://t.co/3O0FXczyPF,,False,Wed Apr 18 14:15:08 +0000 2018,2,986609074077945857
0,Facebook,New Yorkers shifted to public transportation and sharing services according to Cubic Transportation Systems and... https://t.co/UXJ4yFCBxx,,False,Wed Nov 16 18:17:24 +0000 2016,0,798953127575633920
0,Facebook,Cubic Global Defense and Cubic Mission Solutions showcasing their solutions to the #USARMY Association of United... https://t.co/5SUO9q9Rwu,,False,Tue Oct 04 19:15:19 +0000 2016,0,783385027073671168
6,Twitter Web Client,"""EIS is honored to be supported by Cubic Charitable Giving. Thank you for supporting the innovators of the future!""… https://t.co/aSkgtd3SHb",,False,Tue Nov 07 20:13:36 +0000 2017,3,927992452580962304
2,Sprout Social,"Meet Angela and hear why she loves ""working on new and challenging projects."" #WeAreCubic #INWED18 #RaisingTheBar… https://t.co/OAhuC6chBx",,False,Fri Jun 22 08:15:03 +0000 2018,1,1010073667492073477
0,Facebook,Did you know: when you donate blood you can help save up to three lives? Employees at our San Diego campus helped... https://t.co/w7aDdcMuU4,,False,Fri Apr 07 22:17:49 +0000 2017,0,850472708756439040
0,Facebook,"Cubic Mission Solutions today announced the promotion of Paul Gierow, former president of GATR Technologies, to... https://t.co/LRMtnucNXS",,False,Wed Nov 09 17:52:19 +0000 2016,0,796410100852269056
8,Twitter for iPhone,🚀 Born ready. #TARC2018. 🚀 https://t.co/Y4457YoqGn,,False,Sat May 12 13:58:31 +0000 2018,3,995302200296390656
6,Twitter Web Client,"Our 2017 Walter J. Zable Innovation Leader of the Year, Dave Roat shares his #TuesdayThoughts! https://t.co/wY5NVr9Rya",,False,Tue Nov 28 18:59:29 +0000 2017,1,935583944929509376
1,Facebook,Cubic is proud to support women in #STEM! To further Cubic's commitment to ensuring women are more widely... https://t.co/mcZLQBoiAM,,False,Fri Feb 03 00:50:55 +0000 2017,3,827318412690980864
4,Twitter Web Client,"On this day, we honor and remember the brave men and women who lost their lives at Pearl Harbor. https://t.co/keG6lFKusF",,False,Thu Dec 07 18:50:43 +0000 2017,3,938843230728216576
2,Sprout Social,"At Cubic, the entrepreneurial spirit of our employees drives globally leading, innovative technologies of the futur… https://t.co/FrkoGfEJaN",,False,Fri Aug 10 08:15:01 +0000 2018,0,1027830666342350849
9,Twitter Web Client,"We’re proud to recognize our senior program planner, Kashif Khan, with the One Team Award for his outstanding contr… https://t.co/TVwwxSXENv",,False,Wed Dec 06 18:58:27 +0000 2017,1,938482790030389248
6,Sprout Social,"BREAKING NEWS: @CubicDefense selected to deliver a new simulation-enabled collective training capability, to better… https://t.co/hJpth36wO8",,False,Mon Aug 19 07:24:04 +0000 2019,4,1163350905154101248
0,Hootsuite,@Cubic_C4ISR supports the Unified Combatant Command with Tactical Two-way Sensor Data Transport #T2SDT baseband kits https://t.co/d8ljsZTPg3,Cubic_MS,False,Mon Aug 22 17:42:00 +0000 2016,2,767778862025543680
3,Sprout Social,"California Is No. 1, Massachusetts No. 2 in U.S. Innovation Rank - Bloomberg - https://t.co/mEtmwfRsap",,False,Wed May 01 07:24:00 +0000 2019,1,1123488225295831040
5,Twitter Web Client,Today we honor the legacy of Martin Luther King Jr. who has left an everlasting impact on the advancement of civil… https://t.co/s7nXQZIlmC,,False,Mon Jan 15 22:11:58 +0000 2018,3,953027003799580673
4,Twitter for iPhone,"#teambuilding // Cube teams under Heather Yazdan’s Finance department had a fun, team building day racing cars at… https://t.co/jsXCohWv80",,False,Mon Dec 17 16:27:09 +0000 2018,1,1074702548936876033
3,Twitter Web Client,Yesterday our #CubicP27 teams presented their projects to our panel of judges. Stay tuned to find out who took 1st… https://t.co/NOMrFBA10X,,False,Tue Oct 24 21:40:59 +0000 2017,0,922941014079258624
