favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
1,Hootsuite,@LindsayJHiggins @KodakProFilmBiz should be able to direct you with your kiosk needs.,LindsayJHiggins,False,Wed Jul 06 16:16:13 +0000 2016,0,750725047371886592
1,Hootsuite,"@migratingplaces It will be available soon, sign up at https://t.co/eox5V2VnFk for email updates",migratingplaces,False,Wed Sep 14 17:59:20 +0000 2016,0,776118148537913344
12,Twitter Web Client,"He may have worked with some of the biggest names in the music industry, but photographer-writer-director… https://t.co/WJOcKNdKVN",,False,Tue Jul 10 18:00:11 +0000 2018,2,1016743904564129797
4,Hootsuite,"#Kodak #PROSPER 6000C Press made 5,000 1-of-a-kind #JeffersonHack book covers in 15 mins. https://t.co/u5kBLoAJpo #MadeWithKodak #drupa2016",,False,Thu Jun 09 14:38:17 +0000 2016,1,740915930079825920
1,Hootsuite,@fequiiere That makes it easy! Please call 1-800-621-FILM (3456) to speak to a customer service rep.,fequiiere,False,Fri May 19 13:55:02 +0000 2017,1,865566469500829696
1,Hootsuite Inc.,@NCMBianchi  They will be very soon!  Please stay tuned to our social channels and we'll let you know when.,NCMBianchi,False,Fri Oct 19 16:47:19 +0000 2018,1,1053326740830019584
19,Hootsuite,"We talk with @tabithasoren about her second act on this episode of #TheKodakery

Listen: https://t.co/jWCCsLH3Yw https://t.co/8opZoVdhUT",,False,Mon Aug 07 15:10:11 +0000 2017,4,894576409397645313
50,Twitter Media Studio,"Inspired by the bold racing stripes of 1980s NASCAR® racing, our latest affordable fashion collaboration with… https://t.co/rdICivIqUc",,False,Thu Sep 13 20:28:22 +0000 2018,10,1040336407586168832
0,Hootsuite,@Abrahammahan yes we are,Abrahammahan,False,Tue Apr 18 12:25:39 +0000 2017,0,854309950851604480
0,Hootsuite,"@sara_Alkahtani_ hi Sara, can you give us more specific details about what product you're referring to?",sara_Alkahtani_,False,Mon Nov 13 17:44:37 +0000 2017,0,930129286295584768
