favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
6,TweetDeck,"First Electric Highway in U.S. Unveiled Near Ports of L.A. and Long Beach

https://t.co/TrypsdP2Wt https://t.co/8uz4OeNTm8",,False,Wed Nov 15 20:53:57 +0000 2017,1,930901711106928640
1,TweetDeck,&gt; https://t.co/EhvjTUW4Hk,,False,Tue Jun 20 17:15:30 +0000 2017,0,877213329390882816
1,TweetDeck,---&gt; @SCE Conducts Damage Assessments as SoCal #Wildfires Continue to Burn https://t.co/8pZqJIcWZt https://t.co/CMin9NOmPJ,,False,Mon Dec 11 18:08:16 +0000 2017,3,940282099961020416
1,TweetDeck,Edison CEO Pedro J. Pizarro joins 180 U.S. CEOs signing @BizRoundtable statement of commitment to lead their compan… https://t.co/vm7LEVtPzy,,False,Tue Aug 20 19:38:10 +0000 2019,1,1163898035773947904
0,TweetDeck,"---&gt; Inspirational New Visions of a Clean Energy Future
via @NRDCEnergy
https://t.co/Rdjy625kZ2",,False,Fri Nov 03 16:54:12 +0000 2017,0,926492719706279936
1,TweetDeck,&gt;&gt;&gt;&gt; https://t.co/6SWebjuooA,,False,Thu Sep 28 18:01:08 +0000 2017,1,913463602757066752
0,TweetDeck,@jacobisoverit Sorry to hear that. Please follow @SCE for outage updates. Thank you.,jacobisoverit,False,Thu Aug 31 16:41:19 +0000 2017,0,903296653469204481
8,TweetDeck,"Pizarro: “Our @SCE Clean Power and Electrification Pathway to 2030 = 80% carbon-free electricity, up to 10 gigawatt… https://t.co/AIwLteejNX",,False,Tue Aug 21 15:29:30 +0000 2018,3,1031926271687577600
0,TweetDeck,&gt; https://t.co/LfSeGJtxjH,,False,Fri Sep 22 22:55:02 +0000 2017,0,911363236930379776
1,TweetDeck,"---&gt; @SCE Wind Energy, Energy Storage Featured in CNBC World TV Show https://t.co/akv6T0VoI0 https://t.co/rZTL6pV09U",,False,Thu Aug 17 18:46:22 +0000 2017,1,898254694308495360
1,TweetDeck,"Calif. Gov. Newsom Announces Climate Pollution Continues to Drop Below 2020 Target While State’s Economy Grows

https://t.co/Tk7Q4NfSxU",,False,Mon Aug 12 21:48:12 +0000 2019,0,1161031655202541568
2,TweetDeck,---&gt; https://t.co/d3Kb03GDuN,,False,Thu Jan 04 17:50:08 +0000 2018,0,948974844204408832
0,TweetDeck,"--&gt; @SCE President Nichols Embraces Governor Brown’s Executive Order on Zero-Emission Transportation. 
@VerdeXchange
https://t.co/hnaUOY5U0J",,False,Thu Sep 14 17:08:56 +0000 2017,3,908377032853090304
1,TweetDeck,. https://t.co/7iOrVILEsI,,False,Thu Jan 18 17:03:00 +0000 2018,0,954036412688556034
2,TweetDeck,"Edison CEO Pedro Pizarro Shares Insights On Business Success. 
via @forbes https://t.co/zMcIxGUpGM",,False,Wed Feb 28 18:01:44 +0000 2018,0,968909095754321920
4,TweetDeck,"#DYK -- Since 2006 Edison has awarded ~$7.7 million in scholarships to
580 Edison Scholars.
Read all about it at… https://t.co/1XLZJJlEpL",,False,Mon Nov 13 16:50:02 +0000 2017,5,930115549383856128
1,TweetDeck,LA Metro is buying electric buses; will convert its entire bus fleet to zero-emission buses by 2030.… https://t.co/lqWoTKZ3oX,,False,Tue Aug 01 18:04:49 +0000 2017,0,892446031891243008
1,TweetDeck,#cleanenergyfuture https://t.co/SoLV9e3nJF,,False,Tue Jun 05 20:39:54 +0000 2018,1,1004100521077043201
1,TweetDeck,"--&gt; @SCE Supports California Climate Goals With New Electrification Pathway to 2045; 
Wildfire season highlights th… https://t.co/nQP02BuKr5",,False,Tue Nov 19 19:08:00 +0000 2019,2,1196867740629229568
1,TweetDeck,Edison partners with the Garvey School District to create a #CleanEnergyFuture for local communities.… https://t.co/x0aH7lLxTq,,False,Wed Jun 27 16:41:12 +0000 2018,0,1012012983873036289
1,TweetDeck,"Edison a “Trendsetter” in Ctr. for Political Accountability's Index of Corporate Political Disclosure/Accountability
https://t.co/iCC7FY5sQi",,False,Tue Sep 26 19:09:29 +0000 2017,0,912756027111620608
2,TweetDeck,&gt; https://t.co/ANrvtRPNbZ,,False,Tue Sep 26 20:04:01 +0000 2017,2,912769749053988864
15,TweetDeck,Edison joins 36 utilities in signing letter to Congressional leaders in support of boosting #ElectricVehicle tax cr… https://t.co/3J9VtS173O,,False,Mon Mar 19 17:02:25 +0000 2018,9,975779537232445440
2,TweetDeck,"""How did you get Your Start in the Grid?"" Debuts with @SCE T&amp;D VP Greg Ferree's Story.
via @ELPmagazine 

https://t.co/Thr77yevfi",,False,Wed Apr 26 16:43:02 +0000 2017,0,857273826861699072
0,TweetDeck,Edison International and Cal State San Bernardino seek to inspire students with scholarships for #STEM or STEM-rela… https://t.co/EM1BA2ko5K,,False,Mon Mar 12 19:16:48 +0000 2018,0,973276641920036864
0,TweetDeck,"See how we are partnering with customers to deploy new clean energy technologies, such as rooftop solar, EVs, elect… https://t.co/34CY454yH2",,False,Fri Jun 14 16:05:00 +0000 2019,0,1139564403546873856
0,TweetDeck,--&gt; @SCE Interns Apply Skills to Innovative Utility Projects https://t.co/kuGlXQIv1Q https://t.co/ZSUB071YtL,,False,Fri Aug 18 16:07:00 +0000 2017,2,898576977816305664
2,TweetDeck,&gt; https://t.co/8uobcMBbub,,False,Thu Jan 18 16:31:00 +0000 2018,1,954028358702018561
1,TweetDeck,---&gt; https://t.co/l7ekrlI8hD,,False,Thu Oct 12 16:51:45 +0000 2017,1,918519568347291648
3,TweetDeck,See how @SCE Economic Development team helped bring jobs to Southern California. https://t.co/AS6EcnGOv9 https://t.co/LW2jCMhfdz,,False,Fri Dec 01 16:47:00 +0000 2017,0,936637770356920325
4,TweetDeck,"Edison CEO Pedro Pizarro at @townhallLA “Climate change remains a topic of political debate. But in California, it’… https://t.co/4TY6OeNCul",,False,Fri Aug 24 19:37:11 +0000 2018,3,1033075766991286272
1,TweetDeck,&gt;&gt;&gt;&gt;&gt; https://t.co/pPLeXqXOvd,,False,Tue Jun 20 17:14:13 +0000 2017,0,877213008304394244
51,TweetDeck,Edison CEO Pedro Pizarro keynotes @EPRINews #Electrification2018 -- “Transformative trends in climate change and ai… https://t.co/4dUajh3jue,,False,Tue Aug 21 15:24:06 +0000 2018,23,1031924914696073217
