favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Sprinklr,Denault: We believe these low energy costs continue to attract jobs &amp; businesses to communities we serve. $ETR #entergy (3/3),,False,Tue Aug 04 15:13:05 +0000 2015,3,628584446011248640
3,Sprinklr,"Denault:  It is clear that a strong, healthy power sector will be as critical in next century as it was in the last. #EEI2015",,False,Mon Jun 08 14:08:01 +0000 2015,1,607911965546168320
0,Twitter Web Client,"Marsh: re: reliability needs, need long-term price signals, transparency on these signals. Need to get the rules right. #CERAWeek",,False,Thu Apr 23 17:36:51 +0000 2015,0,591294678810632192
2,Sprinklr,@ArkansasEDC Thanks so much for the shout-out! We work with some great partners in our region! Folks can learn more… https://t.co/rUxApbHd08,ArkansasEDC,False,Wed Oct 03 14:46:01 +0000 2018,0,1047498007141392384
0,Sprinklr,@SoutherDLite Sorry to hear this. We'd like opportunity to address. Can u send us your info using this form: https://t.co/EPbymo6BQo,SoutherDLite,False,Thu Nov 12 20:59:01 +0000 2015,0,664910292997046272
1,Sprinklr,"Severe weather has caused outages across our 4-state service area. Crews are assessing damage, restoring.… https://t.co/EPRFbnKvZ1",,False,Sun Oct 22 14:32:59 +0000 2017,0,922108527484731393
3,Sprinklr,Our board of directors has approved a quarterly dividend payment of $0.93 per common share. Entergy has paid a comm… https://t.co/76KOghQLj8,,False,Fri Oct 25 19:28:24 +0000 2019,2,1187813177876197376
0,Sprinklr,"@Justin92902931 Justin - if you're still experiencing an issue, DM us with your account details and our customer ca… https://t.co/mswCrw5D6y",Justin92902931,False,Mon Jun 18 13:53:34 +0000 2018,0,1008709307960000512
2,Twitter Web Client,"Panelists: Lessons from Germany -- U.S. needs to value diversity of fuel, as we do with our personal stock portfolio. #CERAWeek",,False,Thu Apr 23 15:07:28 +0000 2015,6,591257081891524608
4,Sprinklr,"Our region is perfect for business expansion and relocation. We provide affordable, reliable energy with a diverse… https://t.co/oOJcMByTX8",,False,Wed Nov 06 14:59:50 +0000 2019,1,1192094245496270853
4,Sprinklr,WATCH: We created a video to honor some of #Entergy's own #veterans. https://t.co/Q5OFT679Zj #VeteransDay #WePowerLife,,False,Wed Nov 11 15:06:28 +0000 2015,7,664459181924200450
1,Sprinklr,"@missymoo316 Glad to be of service, Marissa! Stay safe!",missymoo316,False,Sun Mar 11 01:12:29 +0000 2018,0,972641377510096897
