favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
309,Twitter Web Client,Drones can now detect methane emissions rapidly and accurately in multiple well sites. https://t.co/BA9rEfaFZI,,False,Mon Dec 24 14:49:59 +0000 2018,104,1077214812587913216
252,Twitter Web Client,Today we announced the start of a new unit to increase production of ultra-low sulfur fuels at @exxonmobilbmt. The… https://t.co/h50Ghx2cCM,,False,Wed Sep 26 13:13:14 +0000 2018,56,1044937943473967104
358,Twitter Web Client,"Today we announced a $10 billion joint investment decision to develop the Golden Pass LNG export project, expected… https://t.co/KtfOF5e3O3",,False,Tue Feb 05 19:32:58 +0000 2019,126,1092868706080821249
300,Twitter Web Client,Where would we be without teachers? We invest in educational programs so teachers can continue to shape the next ge… https://t.co/G0mEEUxM4Q,,False,Fri Oct 05 17:41:45 +0000 2018,52,1048267010134745089
75,Twitter Web App,Think it’s more efficient to leave your car running when you make a quick stop? Think again. https://t.co/AfI5dUkGhU,,False,Fri Oct 18 15:45:35 +0000 2019,31,1185220389842161665
33,Twitter for iPhone,“We’re dedicated to doing our jobs with great care for people and the environment.  I’m proud to be part of this co… https://t.co/fPLBNR55af,,False,Wed May 29 14:40:45 +0000 2019,16,1133744996891484161
54,Twitter Web App,"Up, up and away! School of ExxonMobil is back in session, and this time we’re learning all about helium and its man… https://t.co/ZDikvlgxRh",,False,Tue Oct 08 16:15:11 +0000 2019,7,1181603958298681345
73,Twitter Web App,"Last night on @ninjawarrior our own engineer on a mission @NoLimitsNate_ competed in the National Finals💪 Congrats,… https://t.co/qR04aDFE69",,False,Tue Aug 27 15:54:06 +0000 2019,12,1166378362723606528
207,Twitter Web Client,"Congratulations to Kevin Larson of OctoRD and Justin Gaull of @CBSArcSafe, winners of our Spring Energy Challenge!… https://t.co/9Duk83ZWAk",,False,Fri Jun 07 18:47:52 +0000 2019,26,1137068676140740609
91,Twitter Web App,Read what our Vice President of R&amp;D Vijay Swarup has to say about how we’re working on low-emission tech with the I… https://t.co/qzP9Nd6ZJu,,False,Mon Oct 14 13:29:39 +0000 2019,18,1183736627107160064
64,Twitter Web Client,"By 2040, the electricity produced from wind and other renewables will increase by about 400%. As the world’s larges… https://t.co/RwsdMC2qa7",,False,Fri Jun 15 15:17:33 +0000 2018,39,1007643277833719808
