favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
1,Buffer,All week we’re raising awareness about scams targeting customers. Please share this post and check out additional t… https://t.co/PtabzElmoi,,False,Thu Mar 07 19:00:41 +0000 2019,0,1103732217413537792
0,Twitter Web Client,"We are currently experiencing a natural gas outage in Marshall, MN where 56 customers have lost service. Crews are… https://t.co/iKQ4mOvA8b",,False,Thu Feb 07 19:26:57 +0000 2019,0,1093591967328419840
0,Buffer,August 11 is National 8-1-1 Day! Calling 8-1-1 is the most important step. http://t.co/n74FNWY7CR,,False,Tue Aug 11 23:08:07 +0000 2015,0,631240708502986753
0,Buffer,"NEW! Pay, view and manager your account online FREE of charge. Visit http://t.co/wwv1FThn0p for more info. http://t.co/bTfYEo34cx",,False,Fri Aug 07 23:08:08 +0000 2015,0,629791160156954624
1,Buffer,https://t.co/sW653Ixm73,,False,Tue Nov 06 21:38:51 +0000 2018,0,1059923087385378818
2,Buffer,Scammers are clever &amp; may not always ask for money. They may claim you have a refund &amp; request your banking or cred… https://t.co/u3sivrFql8,,False,Thu Aug 01 18:00:37 +0000 2019,0,1156988116877680642
2,Buffer,"Now is the time to make sure your heating system is working properly. Stay warm, cozy, and safe this winter by foll… https://t.co/UDcD6B0sko",,False,Tue Sep 17 18:00:21 +0000 2019,0,1174020281213562880
2,Buffer,Location information for gas transmission pipelines is available at the National Pipeline Mapping System (NPMS) web… https://t.co/jtOSKleuOz,,False,Tue Jun 25 18:00:32 +0000 2019,0,1143579744350474240
1,Buffer,7 colors represent the various underground utility lines. Do you know what they are? #Call811 https://t.co/XFbOcnzZ17,,False,Mon Apr 24 17:41:02 +0000 2017,0,856563648004751361
2,Buffer,Put a stop to scammers. Learn to spot the signs and how to deal with phone scammers at https://t.co/ty56yKtBUx… https://t.co/SUlv7AGpc3,,False,Thu Aug 22 18:00:33 +0000 2019,0,1164598243797471233
2,Buffer,"Be automatic. Watch to see how, then click to make it happen: https://t.co/ehGhfL3D7O https://t.co/wxFXWEkrTQ",,False,Thu Jul 19 23:30:24 +0000 2018,1,1020088498051788801
0,Buffer,Do you know a non-profit that may qualify for a grant through our ECO Fund? Apply by Oct. 1st. http://t.co/prYMiGnZSK http://t.co/DVIhhbI9rj,,False,Sat Aug 09 01:45:10 +0000 2014,0,497921498745942016
2,Buffer,"Dads, we care about the safety of your family as much as you do. The best way to keep them safe around natural gas… https://t.co/566ZpS2ijZ",,False,Sun Jun 17 16:57:02 +0000 2018,1,1008393090619539463
