favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
2,Falcon Social Media Management ,We support continuous learning and development at Hess. https://t.co/c04G4meFfo https://t.co/ZbPVeZpFOS,,False,Fri May 06 20:01:01 +0000 2016,1,728675960510369793
0,Twitter Web Client,Hess Reports Estimated Results for the First Quarter of 2012 (04/25/2012): http://t.co/ffOOg4IX,,False,Wed Apr 25 11:43:59 +0000 2012,0,195115936515235840
4,Twitter Web Client,"Hess recently contributed $50,000 to help purchase much needed equipment for Farm Rescue. Since 2016, Hess has spon… https://t.co/ArLCesOYCM",,False,Wed Jul 03 16:18:08 +0000 2019,0,1146453079799357440
3,Twitter Web App,"Congrats Hess @HoustonCorpRun on a record-breaking event: 166 companies, ~5,000 participants &amp; 3 fun-filled evening… https://t.co/n3ikrJ1V22",,False,Fri Oct 25 17:00:10 +0000 2019,0,1187775870632714240
4,Twitter Web Client,At Davos 2019 CEO John Hess highlights shale as an economic driver in the U.S. and explains how the investor paradi… https://t.co/NVflfPErrH,,False,Wed Jan 23 23:28:08 +0000 2019,0,1088216845780434944
16,Twitter for iPhone,Hess announces first oil at the Stampede project in deepwater Gulf of  Mexico. See what it takes to develop deepwat… https://t.co/RaKMRRL6Dd,,False,Tue Feb 06 23:16:33 +0000 2018,7,961015789557112834
2,Falcon Social Media Management ,We continue to make significant strides in our safety performance. http://t.co/lq0GYOp37e http://t.co/KbsMGw6PdI,,False,Wed Sep 30 18:56:00 +0000 2015,1,649296654072463360
8,Twitter Web Client,Hess celebrates #IndependenceDay and America's entrepreneurial spirit. We are proud to play a role in America’s con… https://t.co/rbqnonB3tX,,False,Thu Jul 04 17:00:02 +0000 2019,1,1146826009628565504
1,Falcon Social Media Management ,100 Hess/GNPC scholars in Ghana were selected to participate in programs with six partner institutions this year. http://t.co/zoVfvbnnS7,,False,Mon Oct 20 15:00:03 +0000 2014,1,524213461455478784
0,Twitter Web Client,Hess Schedules Earnings Release Conference Call (04/11/2013) http://t.co/YJpGWMhmVv,,False,Thu Apr 11 14:54:40 +0000 2013,0,322362066621038592
5,Twitter Web Client,"Martin Edwards, Hess VP Europe, will be presenting tomorrow at the Oil &amp; Gas Summit 2017 in #Denmark. Learn more:… https://t.co/dBUClwwkr1",,False,Tue Sep 19 22:40:56 +0000 2017,3,910272525879398400
1,Falcon Social Media Management ,#Lean mfg methods has been transformational in driving costs down for Hess in the #Bakken - CEO John Hess @CERAWeek http://t.co/UKDkvBddb3,,False,Tue Apr 21 22:04:44 +0000 2015,1,590637316915523585
6,Twitter Web Client,"Hess Holiday Toy Truck Donations #4, #5 and #6: Thank you @KIPPHouston Explore &amp; Intrepid and @HoustonISD Gallegos… https://t.co/7PQcYNf4OV",,False,Thu Dec 14 22:25:21 +0000 2017,2,941433959505977345
0,Falcon Social Media Management ,"Jeff Wirth, #GoM Asset Director: ""In the deep water, it is all about reducing the cycle time"" http://t.co/T4SS2Q7s0O",,False,Thu Jun 18 17:30:01 +0000 2015,2,611586677744734208
3,Twitter Web Client,"Hess has integrated social responsibility into the way we do business every day, creating positive and mutually ben… https://t.co/5o8FOiP37F",,False,Fri Nov 30 18:39:14 +0000 2018,1,1068575194271412224
4,Twitter Web Client,"Gerbert Schoonman, Hess VP – Offshore, discussed the critical need for offshore and deepwater investment and develo… https://t.co/sUQoIliXOv",,False,Thu May 16 20:26:54 +0000 2019,0,1129121064645201923
