favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
3,Hootsuite,https://t.co/iHTqK73gWZ,,False,Thu Nov 23 15:30:53 +0000 2017,1,933719510770733058
5,Hootsuite Inc.,"Visit the NW Natural @StreetDreamsPDX to see jaw dropping homes. Each home is exquisitely appointed, and also built… https://t.co/hDiOKrf8HP",,False,Thu Jul 26 22:25:04 +0000 2018,2,1022608769774047238
3,Hootsuite Inc.,"NW Natural is #hiring: Desktop Admin IS Specialist, Legal Specialist, Accounting Analyst, and HR Staff Assistant.… https://t.co/VHVPICcIrU",,False,Fri Jun 08 22:45:14 +0000 2018,2,1005219228256006144
1,Hootsuite,"NW Natural is #hiring: Application Administrator, Plant Operator, and Project Engineer. #FuelingTheFuture #jobs Vis… https://t.co/11aua3yYg5",,False,Fri Apr 27 23:07:11 +0000 2018,1,990004459152576513
1,Hootsuite,How #efficient is your energy use? Find out with our online Energy Analyzer tool. Log in today http://t.co/HYYzqZ8bvj @nwnatural,,False,Thu Apr 23 22:39:04 +0000 2015,1,591370734557102080
0,Hootsuite,Check out the @NWNatural Street of Dreams Lagunitas Brewery Acoustic Concert Series Wednesdays at 7:00pm http://t.co/OH6Au2VFIR,,False,Thu Jul 31 21:23:53 +0000 2014,1,494956639712452608
0,Twitter Web Client,@clean_plate We don't yet offer payment through consumer banks. To enroll in @nwnatural paperless billing visit:… https://t.co/vRIonrQjDh,clean_plate,False,Wed Apr 12 18:17:49 +0000 2017,0,852224249301356544
1,Hootsuite Inc.,"Check out the fantastic artwork from kids of our employees, touting our number one priority: safety. https://t.co/FA3iXoHhHC",,False,Thu Nov 21 22:25:06 +0000 2019,1,1197642117977387009
2,Hootsuite Inc.,Available now for customers: New offers for high-efficiency natural gas water heaters. Learn more about offer detai… https://t.co/e6WxTyKzGW,,False,Tue Dec 18 20:10:19 +0000 2018,1,1075121097958481920
3,Hootsuite Inc.,As much as half of your home's energy is spent on heating and cooling. Receive limited-time discounts on gas equipm… https://t.co/NltwlXvG5J,,False,Wed Sep 12 22:45:11 +0000 2018,1,1040008450019930115
0,Hootsuite,Have you booked your annual @nwnatural gas equipment #safety inspection? It's easy &amp; there's no additional charge.… https://t.co/GdxYhigbUU,,False,Tue Jun 20 14:51:32 +0000 2017,1,877177100213649409
0,Hootsuite,NWNatural  is aware of the situation at 6214 N. Kirby Ave. in Portland and on site helping @PDXFire   Updates to follow.,,False,Tue Jul 25 00:05:40 +0000 2017,0,889637741281103872
1,Hootsuite,The easiest way to reduce emissions is to use less. Learn more: https://t.co/EELAdjlK1X #LessWeCan https://t.co/ptHoyBzR97,,False,Mon Jan 15 20:10:09 +0000 2018,1,952996347694772230
