favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Facebook,New Entry Level #EHS Specialist position open! #GraduateJobs http://t.co/kjyHjvDbkQ,,False,Thu Sep 03 13:26:12 +0000 2015,0,639429185971298305
0,Facebook,New Opportunity in Alabama #Jobs #NowHiring http://t.co/lVTEmrtJxw,,False,Tue Aug 18 13:06:58 +0000 2015,0,633626139878137856
0,Oracle Taleo Social Sourcing,Open Position with #Olin QA Coordinator - Shipping/Rece: https://t.co/MzTnc66nl3.,,False,Thu Nov 19 20:12:30 +0000 2015,0,667435300352892928
0,Facebook,New #IT Co-op position in Charleston! http://t.co/AH43xIXZxe,,False,Thu Sep 03 16:50:38 +0000 2015,0,639480631769067520
0,Facebook,New #LabTech opening in #Tennessee #Chemicals http://t.co/QW6HoSG2We,,False,Wed Sep 16 14:45:48 +0000 2015,0,644160259221655552
0,Facebook,Internship availabilities in Tennessee! #EngineeringJobs #Interns http://t.co/FoLSy2zN9v,,False,Thu Sep 10 19:04:03 +0000 2015,0,642050921392836609
0,Facebook,Internship availabilities in Tennessee! #EngineeringJobs #Interns http://t.co/JmjKwnh0QE,,False,Thu Sep 10 20:08:02 +0000 2015,1,642067027255951360
0,Oracle Taleo Social Sourcing,"New Opening with #Olin #Jobs E&amp;I Technicians - Charleston,: https://t.co/AxdUwbmkJW.",,False,Fri Dec 11 14:33:00 +0000 2015,0,675322396090490880
0,Facebook,Internship availabilities in Tennessee! #EngineeringJobs #Interns http://t.co/wGhzEtldHv,,False,Thu Sep 10 21:14:03 +0000 2015,0,642083637039501312
0,Oracle Taleo Social Sourcing,Now Hiring!! Millwright: http://t.co/ODmHSsIop4.,,False,Tue Jul 21 19:45:13 +0000 2015,0,623579502266949632
3,Twitter Web Client,Had a great time meeting students at the #STEMUP Career Fair @UBCareerServices http://t.co/fA1IgaDHWm,,False,Wed Oct 07 21:43:23 +0000 2015,0,651875494380609537
0,Facebook,New Opportunity #NowHiring #Georgia http://t.co/TadxaG2SpA,,False,Wed Aug 19 17:35:11 +0000 2015,0,634056026636054529
0,Facebook,Exciting new #Pipefitter opportunity in #Alabama http://t.co/9927XoJ8wA,,False,Thu Sep 17 16:35:22 +0000 2015,0,644550219376431105
0,Facebook,New Position Available!! #EngineeringJobs #NowHiring http://t.co/xcZJKx9bid,,False,Thu Aug 06 17:56:32 +0000 2015,0,629350357961981952
0,Facebook,New Job Posting!! http://t.co/rcMIYG6JiE,,False,Thu Aug 13 12:55:24 +0000 2015,0,631811288038023168
0,Facebook,#Purchasing position now open! #GraduateJobs http://t.co/Uxoi6NFZdS,,False,Thu Sep 03 18:42:33 +0000 2015,0,639508799284494336
0,Facebook,Check out this exciting position with Olin Chlor Alkali! http://t.co/pgYBfcufMx,,False,Tue Sep 15 20:10:03 +0000 2015,0,643879472563793921
0,Facebook,We love employee referrals! #questforthebest #yourock http://t.co/3jDJUL74QB,,False,Wed Jul 29 12:02:29 +0000 2015,0,626362155101777920
1,Twitter Web Client,Great time today at @usacareersvcs #HireAJag Career Fair! Enjoyed connecting with students from @UofSouthAlabama http://t.co/kHN1tRsZBJ,,False,Thu Sep 17 19:08:57 +0000 2015,0,644588871989219329
0,Oracle Taleo Social Sourcing,"Open Position with #Olin Chemical Operator - Augusta, G: https://t.co/3oja1upmA4.",,False,Thu Nov 19 19:04:30 +0000 2015,0,667418188662112257
0,Facebook,Internship availabilities in Tennessee! #EngineeringJobs #Interns http://t.co/AfboQlam4V,,False,Thu Sep 10 17:56:03 +0000 2015,0,642033809475530753
